username,password,home_directory,default_shell,groups
alice,P@ssw0rd!A1,/home/alice,/bin/bash,"developers,wheel"
bob,B0b$ecure8,/home/bob,/bin/zsh,"analytics,developers"
charlie,C#arl13xYz!,/home/charlie,/bin/bash,"web,analytics"
diana,D1ana!Net9,/home/diana,/usr/bin/fish,"security,web"
eve,Eve*2025_pw,/home/eve,/bin/bash,"docker,security"
frank,Fr4nkSecure!,/home/frank,/bin/bash,"developers,docker"
grace,Gr@ce_99ok,/home/grace,/bin/zsh,"qa,developers"
heidi,H3id!Lab7,/home/heidi,/bin/bash,"db,qa"
ivan,1vanStrong#5,/home/ivan,/bin/bash,"helpdesk,db,wheel"
judy,Judy!Access2,/opt/judy,/bin/sh,"guest,helpdesk"
mallory,Mall0ry$8x,/home/mallory,/bin/bash,"audit,guest"
oscar,0scar_Pass!3,/home/oscar,/bin/bash,"wheel,audit"
